% Motor Slew Rate Measurement - Continuous Step Sequence
% Segment length = 3.0 [sec]
% N_segments     = 20
% Duration       = 60.0 [sec]
% K_lin          = 8.127800 [(rad/s)/V]
% K_gimbal       = 26.049690 [(rad/s)/V]
% Vg_offset      = 1.336908 [V]
% p_cw           = [-2.621900, 30.449800, -63.426600]
% p_ccw          = [2.394600, 4.751300, -23.293900]
% Sequence (Vcmd per segment): +0.50 +0.00 -0.50 +0.00 +1.00 +0.00 -1.00 +0.00 +1.50 +0.00 -1.50 +0.00 +2.00 +0.00 -2.00 +0.00 +2.50 +0.00 -2.50 +0.00 

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       10.7100060000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.7150025000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.7200039000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.7253358000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.7300147000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.7350020000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.7400045000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.7450022000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.7500016000         0.0000000000         2.5000000000         1.3480486360         0.4311190970         0.2902171702         0.0000000000
       10.7550012000         0.0000000000         2.5000000000         1.3352870017         0.4336709744        -0.0422194509         0.0000000000
       10.7600026000         0.0000000000         2.5000000000         1.3506009628         0.4311190970         0.3567044945         0.0000000000
       10.7650013000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.7700458000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.7750019000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.7800057000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.7850067000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.7900045000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.7950030000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.8000027000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.8050029000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8100011000         0.0000000000         2.5000000000         1.3454963091         0.4311190970         0.2237298460         0.0000000000
       10.8150026000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.8200011000         0.0000000000         2.5000000000         1.3403916554         0.4311190970         0.0907551976         0.0000000000
       10.8250022000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8300032000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.8350025000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.8400014000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
