% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.5600025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5650410000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5700040000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5750026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5800028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5850059000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5900043000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5950030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6000063000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6050039000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6100026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6150044000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6200046000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6250027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6300029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6350040000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6400031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6450026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6500044000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6550032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6600025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
