% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.7104365000         0.0710436500         2.7690045345         1.3837812120         4.8331077137         1.2183802165         0.5708570408
        0.7153811000         0.0715381100         2.7692513147         1.3786765582         4.8356595912         1.0854055680         0.5748301753
        0.7204049000         0.0720404900         2.7695020685         1.3761242314         4.8407633461         1.0189182438         0.5788669493
        0.7254491000         0.0725449100         2.7697538618         1.3735719045         4.8382114687         0.9524309195         0.5829201153
        0.7305425000         0.0730542500         2.7700081326         1.3735719045         4.8484189785         0.9524309195         0.5870128150
        0.7354229000         0.0735422900         2.7702517903         1.3863335388         4.8586264883         1.2848675407         0.5909343628
        0.7404179000         0.0740417900         2.7705011902         1.3735719045         4.8535227334         0.9524309195         0.5949479952
        0.7453831000         0.0745383100         2.7707491228         1.3735719045         4.8535227334         0.9524309195         0.5989376823
        0.7504103000         0.0750410300         2.7710001723         1.3761242314         4.8637302433         1.0189182438         0.6029771884
        0.7554209000         0.0755420900         2.7712504138         1.3761242314         4.8688339982         1.0189182438         0.6070033558
        0.7604071000         0.0760407100         2.7714994575         1.3735719045         4.8662821207         0.9524309195         0.6110099171
        0.7653923000         0.0765392300         2.7717484721         1.3786765582         4.8790415080         1.0854055680         0.6150156748
        0.7704501000         0.0770450100         2.7720011344         1.3735719045         4.8815933855         0.9524309195         0.6190797688
        0.7754389000         0.0775438900         2.7722503707         1.3710195777         4.8790415080         0.8859435953         0.6230884193
        0.7804262000         0.0780426200         2.7724995529         1.3684672508         4.8918008953         0.8194562711         0.6270958645
        0.7854368000         0.0785436800         2.7727499202         1.3761242314         4.8943527728         1.0189182438         0.6311220319
        0.7903794000         0.0790379400         2.7729969103         1.3684672508         4.8943527728         0.8194562711         0.6350935593
        0.7954546000         0.0795454600         2.7732505479         1.3710195777         4.8969046502         0.8859435953         0.6391716347
        0.8003818000         0.0800381800         2.7734968097         1.3735719045         4.9096640375         0.9524309195         0.6431307878
        0.8056943000         0.0805694300         2.7737623517         1.3659149240         4.9045602826         0.7529689469         0.6473995409
        0.8106518000         0.0810651800         2.7740101705         1.3786765582         4.9122159150         1.0854055680         0.6513830408
        0.8154008000         0.0815400800         2.7742475860         1.3710195777         4.9147677924         0.8859435953         0.6551990048
        0.8204359000         0.0820435900         2.7744993250         1.3684672508         4.9147677924         0.8194562711         0.6592448587
        0.8254150000         0.0825415000         2.7747482852         1.3608102703         4.9147677924         0.6199942984         0.6632457149
        0.8304704000         0.0830470400         2.7750010817         1.3735719045         4.9275271797         0.9524309195         0.6673078805
        0.8354168000         0.0835416800         2.7752484483         1.3735719045         4.9300790572         0.9524309195         0.6712824613
        0.8404305000         0.0840430500         2.7754992016         1.3633625971         4.9198715474         0.6864816226         0.6753111197
        0.8454158000         0.0845415800         2.7757485554         1.3659149240         4.9326309346         0.7529689469         0.6793169578
        0.8504567000         0.0850456700         2.7760007114         1.3812288851         4.9402865670         1.1518928922         0.6833674722
        0.8554189000         0.0855418900         2.7762489515         1.3735719045         4.9351828121         0.9524309195         0.6873547487
        0.8604384000         0.0860438400         2.7765000792         1.3735719045         4.9428384445         0.9524309195         0.6913880676
        0.8654460000         0.0865446000         2.7767506326         1.3710195777         4.9402865670         0.8859435953         0.6954118244
        0.8703851000         0.0870385100         2.7769977792         1.3633625971         4.9428384445         0.6864816226         0.6993805394
        0.8754168000         0.0875416800         2.7772495806         1.3710195777         4.9530459543         0.8859435953         0.7034236613
        0.8803853000         0.0880385300         2.7774982401         1.3735719045         4.9607015867         0.9524309195         0.7074160001
        0.8854463000         0.0885446300         2.7777515503         1.3633625971         4.9555978318         0.6864816226         0.7114826654
        0.8904375000         0.0890437500         2.7780013881         1.3608102703         4.9607015867         0.6199942984         0.7154932444
        0.8954322000         0.0895432200         2.7782514220         1.3608102703         4.9581497092         0.6199942984         0.7195066357
        0.9004702000         0.0900470200         2.7785036448         1.3710195777         4.9760128515         0.8859435953         0.7235548198
        0.9054207000         0.0905420700         2.7787515077         1.3684672508         4.9785647289         0.8194562711         0.7275326951
        0.9104764000         0.0910476400         2.7790046592         1.3710195777         4.9785647289         0.8859435953         0.7315951017
        0.9154173000         0.0915417300         2.7792520832         1.3684672508         4.9811166064         0.8194562711         0.7355652631
        0.9204473000         0.0920447300         2.7795039901         1.3608102703         4.9760128515         0.6199942984         0.7396070190
        0.9254201000         0.0925420100         2.7797530533         1.3659149240         4.9836684838         0.7529689469         0.7436028130
        0.9304106000         0.0930410600         2.7800030240         1.3659149240         4.9862203613         0.7529689469         0.7476128294
        0.9354690000         0.0935469000         2.7802564172         1.3659149240         4.9887722387         0.7529689469         0.7516774056
        0.9404742000         0.0940474200         2.7805071667         1.3557056165         4.9913241162         0.4870196500         0.7556992339
        0.9454172000         0.0945417200         2.7807548208         1.3659149240         4.9938759937         0.7529689469         0.7596710827
        0.9505770000         0.0950577000         2.7810133591         1.3633625971         4.9887722387         0.6864816226         0.7638171368
        0.9554368000         0.0955436800         2.7812568860         1.3633625971         4.9938759937         0.6864816226         0.7677221319
