% Motor Triangle Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 10.0000 [sec]
% Cycles       = 5
% Duration     = 50.0000 [sec]
% K_lin        = 9.283000 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336895 [V]
% p_cw         = [-3.197700, 35.875600, -73.405600]
% p_ccw        = [3.168100, 3.851000, -25.925000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       29.5800031000        -0.4199969000         2.0981195204         1.2127753126         4.0190588043        -3.2332785771        -3.8988312227
       29.5850015000        -0.4149985000         2.1008244888         1.1898043709         4.0062994170        -3.8316644952        -3.8524310755
       29.5900013000        -0.4099987000         2.1035275150         1.2127753126         3.9960919072        -3.2332785771        -3.8060179321
       29.5950012000        -0.4049988000         2.1062279032         1.2229846200         3.9833325199        -2.9673292802        -3.7596038604
       29.6000046000        -0.3999954000         2.1089274946         1.2025660052         3.9731250101        -3.4992278741        -3.7131572982
       29.6050033000        -0.3949967000         2.1116218740         1.2204322931         3.9603656228        -3.0338166045        -3.6667543661
       29.6100020000        -0.3899980000         2.1143135865         1.2178799663         3.9450543580        -3.1003039287        -3.6203514340
       29.6150017000        -0.3849983000         2.1170031776         1.2178799663         3.9348468482        -3.1003039287        -3.5739392189
       29.6200024000        -0.3799976000         2.1196906536         1.2178799663         3.9220874609        -3.1003039287        -3.5275177208
       29.6250055000        -0.3749945000         2.1223767721         1.2204322931         3.9144318285        -3.0338166045        -3.4810739435
       29.6300034000        -0.3699966000         2.1250574626         1.2331939274         3.9016724412        -2.7013799833        -3.4346784378
       29.6350023000        -0.3649977000         2.1277360617         1.2204322931         3.8889130539        -3.0338166045        -3.3882736491
       29.6400033000        -0.3599967000         2.1304131642         1.2357462543         3.8889130539        -2.6348926591        -3.3418493661
       29.6450062000        -0.3549938000         2.1330886674         1.2255369469         3.8710499117        -2.9008419560        -3.2954074454
       29.6500089000        -0.3499911000         2.1357614547         1.2255369469         3.8557386469        -2.9008419560        -3.2489673813
       29.6550069000        -0.3449931000         2.1384291333         1.2229846200         3.8429792597        -2.9673292802        -3.2025709473
